,name_with_stand,delta_attack_angle,delta_attack_direction,delta_swing_path_tilt,delta_attack_angle_pct
89,Kyle SchwarberL,45.58403238969202,435.02676548057804,-9.520925849732045,2.027027027027027
90,Lane ThomasR,67.03797479738004,312.03869998130216,5.065832200249684,16.216216216216218
91,Leody TaverasL,134.4215933615288,258.55850356226597,6.777673439559962,86.48648648648648
92,Leody TaverasR,146.70542480082375,458.2331322789469,0.2589933882383022,91.21621621621621
93,Logan O'HoppeR,100.08344332087002,430.29812622523104,3.3017574556383877,55.4054054054054
94,Lourdes GurrielR,118.56550417758841,388.00091287692186,15.63871792354957,75.67567567567568
95,Luis ArraezL,106.35816539326677,186.7035219525956,51.34107229622634,61.48648648648649
96,Luis GarciaL,58.955698785695276,277.6156742680307,15.016252648519313,10.135135135135135
97,Maikel GarciaR,68.3714099399823,395.25288264051454,12.219674118421295,17.56756756756757
98,Manny MachadoR,63.076304929111764,396.0494253996786,7.98028726389153,14.864864864864865
99,Marcell OzunaR,120.22389772347981,321.42880464131906,16.65499818406886,77.7027027027027
100,Marcus SemienR,126.31372641872142,351.81616987965697,2.919079595488732,81.08108108108108
101,Mark VientosR,53.66342116887634,381.09967712402744,-9.673660335812134,6.756756756756757
102,Masyn WinnR,85.2851975880041,385.284924616895,16.975517237355426,36.486486486486484
103,Matt ChapmanR,61.30155406588672,379.9808919239697,35.99429871805699,12.837837837837837
104,Matt OlsonL,133.76522683164788,351.10275488747965,4.551556430193585,85.8108108108108
105,Matt VierlingR,70.78325087086893,329.33250263120567,1.6499903364899602,19.594594594594593
106,Michael BuschL,142.64127016501595,343.7418896228952,-8.20851251540206,89.1891891891892
107,Mookie BettsR,103.19438968359967,264.5163067342313,7.248707180995488,58.78378378378378
108,Nate LoweL,89.16070323710295,409.3478448040615,-1.7690820215386331,40.54054054054054
109,Nick CastellanosR,149.75363115903744,292.13031235652664,6.273529938235072,93.24324324324324
110,Nico HoernerR,90.06539022563312,300.8995439509465,31.096775718486846,42.567567567567565
111,Nolan ArenadoR,108.29345129779246,303.17031522461076,-2.1240447748433375,64.86486486486487
112,Nolan SchanuelL,143.81118101254233,285.5506368510427,6.158456595706163,89.86486486486487
113,Oneil CruzL,156.50500219247883,465.83518220977373,7.542469344459029,95.27027027027027
114,Orlando ArciaR,59.02650294109026,350.073231184411,7.208722095825497,10.81081081081081
115,Paul GoldschmidtR,97.82659694571024,331.93918209282623,10.826810071493462,52.02702702702703
116,Pete AlonsoR,95.6502728609616,457.71163024773057,4.071873569780045,51.35135135135135
117,Rafael DeversL,59.099675341504515,404.1326401816674,2.562278827827104,11.486486486486488
118,Randy ArozarenaR,51.49553364885966,425.0005391423156,16.23060909689987,3.3783783783783785
119,Rhys HoskinsR,77.40907090296312,278.6445458836337,5.419557612501286,29.72972972972973
120,Riley GreeneL,170.0205625269678,231.5034622637607,-4.245301967264702,98.64864864864865
121,Ryan McMahonL,148.5465743933971,378.1185706925376,5.9663173416134825,92.56756756756756
122,Ryan MountcastleR,156.8469534821653,298.3152367875638,18.249910648446402,95.94594594594594
123,Sal FrelickL,117.34500163358531,282.60432108247915,8.809547340356083,74.32432432432432
124,Salvador PerezR,93.46895317718206,333.81559609307516,7.597472074970028,47.97297297297297
125,Seiya SuzukiR,90.39177109677013,340.7510437286163,0.2810744247418917,43.24324324324324
126,Shea LangeliersR,62.29795004470628,385.08794091904036,-5.2125964674601235,13.513513513513514
127,Shohei OhtaniL,113.92350498060388,342.8413100893405,14.140961336783846,72.2972972972973
128,Spencer SteerR,92.61780805224959,423.64389716027364,2.745275957710305,45.94594594594595
129,Steven KwanL,154.3907522865134,277.05156337576346,15.162698231947218,94.5945945945946
130,Taylor WardR,109.48118657959508,373.8081959826691,1.2968912704537168,67.56756756756756
131,Teoscar HernandezR,83.62200256993437,364.22979641369125,8.168938473043994,34.45945945945946
132,Trea TurnerR,59.289841422154424,397.6734252620603,-0.5556759646839815,12.162162162162163
133,Ty FranceR,107.69404324546048,363.167561967025,5.544110739723848,64.1891891891892
134,Tyler StephensonR,99.5235746494073,262.53926687655945,-10.696951949945312,54.054054054054056
135,Vinnie PasquantinoL,86.96548773293985,364.7846459445713,8.685846887124434,37.83783783783784
136,Vladimir Guerrero Jr.R,74.87125199994456,296.04144075114533,7.453360629110506,25.0
137,Will SmithR,67.12059421525124,296.70584730363277,10.525472530195621,16.89189189189189
138,Willi CastroL,121.65088902652955,426.19327849417294,-11.413025148370235,78.37837837837837
139,Willi CastroR,113.03462638485975,465.7541042946385,10.902643752603272,70.94594594594594
140,William ContrerasR,53.026975441348554,311.76164580596196,3.491523167190458,4.72972972972973
141,Willy AdamesR,78.85873451585283,259.3768563811136,-3.3058850081528206,31.08108108108108
142,Wyatt LangfordR,123.64802466914112,337.4991967011055,-4.88072029915859,79.72972972972973
143,Yainer DiazR,62.38022129663111,288.9050503569296,22.235679714255202,14.18918918918919
144,Yandy DiazR,43.639021416186466,259.1898598850604,5.397531706022612,1.3513513513513513
145,Yordan AlvarezL,162.2512355256852,242.49831104707442,14.460726988698312,96.62162162162163
146,Zach NetoR,87.638134453913,373.6731519496187,5.312251433468944,38.513513513513516
147,Zack GelofR,53.06036538317678,336.9191289819031,-7.309290142045306,5.405405405405405
